towerName,displayOrder,hoverImageName,towerHoverSvg,towerTooltipSvg
Tower A,8,tow-a-lay-8.png,72.82 72.69 72.3 71.42 71.2 72.38 68.93 66.19 69.01 65.23 68.35 65.71 67.98 65.07 68.42 63.8 67.61 62.85 68.64 50.63 70.76 47.3 71.57 48.88 72.3 50.47 72.67 51.11 74.13 50.15 74.28 50.79 74.28 53.33 75.23 56.19 75.6 55.71 76.33 57.3 74.57 70.95 72.82 72.53,72.38 52.22
Tower B,7,tow-b-lay-7.png,67.61 60.63 67.25 59.84 66.59 60.63 65.86 59.2 65.42 59.36 65.2 58.57 65.49 57.46 64.68 56.82 63.15 53.96 64.32 33.49 67.83 28.88 71.72 35.39 71.5 46.03 68.49 50.31 67.61 60.31,67.91 34.12
Tower C,6,tow-c-lay-6.png,62.85 51.26 62.56 50.95 61.9 51.74 61.17 50.15 60.73 48.88 60.29 49.52 59.7 48.57 59.7 47.3 59.26 48.57 58.6 47.93 58.9 46.5 58.02 46.34 58.46 35.87 57.8 34.28 57.94 32.22 58.53 30.95 58.97 25.71 61.97 20.79 65.93 26.03 65.78 29.52 66.08 30.63 64.32 32.69 62.93 50.95,62.34 25.39
Tower D,5,tow-d-lay-5.png,57.87 44.12 57.36 43.49 56.84 44.76 56.11 43.8 55.67 43.96 55.38 43.49 55.31 42.53 52.96 40.47 52.96 35.87 52.08 35.07 52.16 28.41 52.82 26.82 52.23 26.19 53.33 23.65 53.99 24.28 54.72 23.17 55.53 23.65 55.75 24.44 56.26 25.55 57.28 23.96 57.58 24.12 57.65 26.5 58.68 29.04 57.87 31.42 57.65 34.44 58.02 35.23 57.8 43.8,56.19 26.5
Tower E,4,tow-e-lay-4.png,51.06 28.88 50.4 28.88 50.1 30.47 43.73 28.57 43.36 18.25 43.51 16.34 42.27 15.87 42.93 11.9 43.07 11.42 43.15 7.77 44.32 0.95 51.13 3.01 51.2 5.23 50.98 6.5 51.42 6.66 51.57 25.87 51.06 28.57,47.1 5.07
Tower F,3,tow-f-lay-3.png,43.36 26.66 42.85 26.82 42.56 28.25 41.97 28.09 41.68 27.46 40 27.61 36.19 27.3 35.67 24.92 35.16 14.44 35.23 12.53 35.38 12.06 35.38 10.15 36.11 10.15 36.33 9.52 37.06 9.68 37.28 10.31 38.75 10 39.04 9.52 39.26 8.09 39.7 8.09 39.85 9.84 40.14 9.84 40.87 10 42.93 10 42.19 15.39 42.93 15.87 43.15 15.87 43.44 26.66,39.26 11.26
Tower G,0,tow-g-lay-0.png,28.71 44.28 26.73 35.55 24.46 14.28 29.37 11.11 31.79 20.31 32.23 25.87 33.18 29.04 33.18 29.2 32.6 30 32.67 31.11 28.49 35.23 28.27 35.07 28.64 43.8,27.91 17.14
Tower H,1,tow-h-lay-1.png,33.62 55.87 33.04 56.5 31.13 50.95 30.76 51.11 29.96 48.57 29.59 46.82 29.23 47.14 28.57 44.44 29.01 43.96 28.42 35.55 31.64 31.74 31.86 32.22 32.96 30.63 33.4 32.22 32.89 32.85 33.47 34.12 34.35 33.8 34.79 34.6 34.65 36.34 32.52 39.04 33.62 55.71,32.16 36.19
Tower I,2,tow-i-lay-2.png,33.77 58.73 33.18 49.36 32.89 48.88 33.18 47.93 32.45 39.04 36.77 32.69 42.19 41.58 42.85 61.9 42.49 62.38 42.49 64.44 41.97 65.23 41.24 64.44 41.02 64.44 41.02 66.66 40.65 67.3 40 66.34 39.26 67.61 38.46 67.14 33.77 58.57,37.5 40.31
Tower J,9,tow-j-lay-9.png,48.57 60 45.12 56.66 44.68 35.87 47.76 30 53.11 35.87 53.11 43.17 53.62 43.96 53.26 45.71 53.62 46.34 51.28 51.9 51.35 61.9 51.2 62.06 50.62 61.58 50.03 62.53 49.45 61.74 48.79 62.69 48.27 62.22 48.42 60.63 48.49 59.84,49.15 36.34
Tower K,10,tow-k-lay-10.png,51.35 64.6 51.42 53.33 51.86 52.06 51.57 51.26 53.26 48.88 54.35 51.42 54.72 50.63 55.16 51.11 56.41 49.2 56.99 50.31 56.99 52.38 57.06 53.01 56.55 53.49 56.33 58.88 55.75 59.2 55.82 61.26 55.53 61.58 55.75 62.53 55.53 70.31 54.87 71.11 54.28 70.31 53.77 70.95 53.47 70.79 53.4 68.73 53.69 67.93 53.18 67.46 51.35 64.6,55.09 52.22
Tower L,11,tow-l-lay-11.png,60.36 82.85 59.48 83.65 57.14 77.14 56.48 77.46 56.26 76.98 56.48 74.44 55.89 73.33 56.26 63.96 55.53 61.9 55.89 61.11 55.67 59.84 56.33 58.88 56.55 53.96 60.87 49.36 64.98 59.52 63.29 79.68 62.93 80 63 82.06 62.34 82.69 62.12 82.22 61.83 82.22 61.75 82.85 61.75 83.01 60.95 83.96 60.43 82.69 60.29 82.69,60.36 55.39
